,漲跌幅,聲量：台積電,聲量：元大證券,聲量：鴻海,聲量：聯發科,成交股數,成交筆數,大戶與散戶比例,指數：TW_Close,指數：TW_Volume,指數：NASDAQ_Close,指數：NASDAQ_Volume,指數：DOW_Close,指數：DOW_Volume,指數：SP_Close,指數：SP_Volume,三大法人：外陸資買賣超股數(不含外資自營商),三大法人：投信買賣超股數,三大法人：自營商買賣超股數,淨值(元)
19,0.0060999999999999995,71.14285714285714,3.2857142857142856,25.857142857142858,14.857142857142858,53093468,46681,1137.3678370214864,16001.26953125,2703600,12851.240234375,4315630000.0,33052.87109375,306950000.0,4193.7998046875,4249470000.0,"-7,546,201",0,"-34,544,017",32.61
20,0.0192,71.71428571428571,3.4285714285714284,24.285714285714285,15.285714285714285,17680375,15603,1133.139460360187,16038.5595703125,2183800,13061.4697265625,4545120000.0,33274.578125,307570000.0,4237.85986328125,4224900000.0,"66,863",0,"-6,429,998",32.82
21,0.0051,72.28571428571429,3.571428571428571,22.714285714285715,15.714285714285714,20093755,11046,1819.0978634799928,16396.94921875,2464200,13294.1904296875,4962950000.0,33839.078125,304350000.0,4317.77978515625,4669780000.0,"6,831,750",0,"1,312,450",33.56
22,0.0163,72.85714285714286,3.7142857142857144,21.142857142857142,16.142857142857142,14575602,10463,1393.0614546497181,16507.650390625,2809400,13478.2802734375,4918750000.0,34061.3203125,311000000.0,4358.33984375,4570960000.0,"217,982",0,"-1,117,098",33.7
23,-0.0003,75.42857142857143,4.142857142857143,18.428571428571427,16.714285714285715,26517411,18734,1415.4697875520444,16649.359375,2709700,13518.7802734375,4345850000.0,34095.859375,265570000.0,4365.97998046875,3656340000.0,"7,498,512","-2,200,000","1,169,140",34.26
24,0.0091,76.85714285714286,4.285714285714286,18.857142857142858,16.428571428571427,12713582,9187,1383.8665505605748,16684.94921875,2180100,13639.8603515625,4354460000.0,34152.6015625,281790000.0,4378.3798828125,3791230000.0,"1,901,423","-1,600,000","1,400,383",34.32
25,0.0003,78.28571428571429,4.428571428571429,19.285714285714285,16.142857142857142,24510974,12970,1889.82066306862,16740.830078125,2664300,13650.41015625,4685550000.0,34112.26953125,280330000.0,4382.77978515625,3729510000.0,"6,327,398",0,"4,907,280",34.6
26,-0.0034999999999999996,79.71428571428571,4.571428571428571,19.714285714285715,15.857142857142858,16915146,9619,1758.513982742489,16745.650390625,2433800,13521.4501953125,5313970000.0,33891.94140625,325400000.0,4347.35009765625,3900780000.0,"4,174,033","-2,650,000","2,825,114",34.66
27,0.0032,81.14285714285714,4.714285714285714,20.142857142857142,15.571428571428571,15047571,13433,1120.194372068786,16682.669921875,2157500,13798.1103515625,4722140000.0,34283.1015625,302460000.0,4415.240234375,3665080000.0,"-1,620,005","-3,000,000","411,006",34.51
28,0.0040999999999999995,81.85714285714286,5.0,20.285714285714285,14.714285714285714,15072111,10921,1380.103561944877,16839.2890625,2512400,13767.740234375,4349590000.0,34337.87109375,245090000.0,4411.5498046875,3326240000.0,"-555,315",0,"2,598,804",34.59
29,0.0043,79.71428571428571,5.0,19.571428571428573,14.428571428571429,22737440,11097,2048.9717941786066,16915.7109375,2619800,14094.3798828125,5332490000.0,34827.69921875,328050000.0,4495.7001953125,4700350000.0,"5,215,110","-2,400,000","7,781,846",34.8
30,-0.0017000000000000001,77.57142857142857,5.0,18.857142857142858,14.142857142857142,38461349,18425,2087.4544911804614,17128.779296875,3950300,14103.83984375,5063830000.0,34991.2109375,347790000.0,4502.8798828125,4347170000.0,"9,243,163","-2,800,000","11,502,404",34.91
31,0.0014000000000000002,75.42857142857143,5.0,18.142857142857142,13.857142857142858,19828612,14823,1337.6922350401403,17171.1796875,3308400,14113.669921875,4545180000.0,34945.46875,435540000.0,4508.240234375,3964520000.0,"810,900","-5,695,000","452,153",34.86
32,0.0023,73.28571428571429,5.0,17.428571428571427,13.571428571428571,17533416,10203,1718.45692443399,17208.94921875,3186300,14125.48046875,4408640000.0,34947.28125,334820000.0,4514.02001953125,3777240000.0,"2,536,962","-5,003,000","6,035,658",34.94
33,0.0115,69.0,5.0,15.571428571428571,12.714285714285714,17168991,12110,1417.7531791907516,17210.470703125,3044800,14284.5302734375,4561810000.0,35151.0390625,331050000.0,4547.3798828125,3644790000.0,"-152,027","-2,750,000","-56,217",34.98
34,-0.0070999999999999995,69.0,5.0,15.142857142857142,12.428571428571429,50911668,19379,2627.1566128283193,17416.69921875,3727100,14199.98046875,4128600000.0,35088.2890625,271120000.0,4538.18994140625,3511080000.0,"16,153,973",0,"23,448,903",35.42
35,-0.0023,69.0,5.0,14.714285714285715,12.142857142857142,20257570,14871,1362.2197565731963,17310.259765625,3167500,14265.8603515625,3855240000.0,35273.03125,237290000.0,4556.6201171875,3042810000.0,"-6,177,513",0,"-2,771,208",35.06
36,-0.0009,69.0,5.0,14.285714285714286,11.857142857142858,13003170,11077,1173.8891396587524,17294.55078125,3179200,14265.8603515625,3855240000.0,35273.03125,237290000.0,4556.6201171875,3042810000.0,"-3,733,805","-1,200,000","-1,302,923",34.95
37,-0.0054,69.0,5.0,13.857142857142858,11.571428571428571,9304389,8256,1126.985101744186,17287.419921875,3037300,14250.849609375,2541840000.0,35390.1484375,117040000.0,4559.33984375,1639500000.0,"-2,901,258",0,"-345,541",34.96
38,0.0043,68.28571428571429,5.0,12.714285714285714,11.0,25130493,21363,1176.3559893273416,17137.419921875,3164500,14241.01953125,4205880000.0,35333.46875,258340000.0,4550.43017578125,3403990000.0,"-12,102,454",0,"-2,542,430",34.7
39,0.0054,67.57142857142857,5.0,12.428571428571429,11.0,11674533,8962,1302.670497656773,17341.25,3435400,14281.759765625,4474400000.0,35416.98046875,256210000.0,4554.89013671875,3586240000.0,"-643,767","-2,031,000","2,574,553",34.93
40,-0.0003,66.85714285714286,5.0,12.142857142857142,11.0,22540506,8944,2520.1817978533095,17370.560546875,3414100,14258.490234375,4890220000.0,35430.421875,299330000.0,4550.580078125,4418760000.0,"2,920,426","-2,040,000","6,531,864",35.19
41,0.0014000000000000002,66.14285714285714,5.0,11.857142857142858,11.0,11829019,9151,1292.6476887771828,17433.849609375,4478400,14226.2197265625,5678070000.0,35950.890625,435540000.0,4567.7998046875,5399300000.0,"356,793","-2,037,000","-218,197",35.25
42,0.0017000000000000001,65.42857142857143,5.0,11.571428571428571,11.0,16992308,10758,1579.5043688417923,17438.349609375,3399000,14305.0302734375,5607000000.0,36245.5,321840000.0,4594.6298828125,4397120000.0,"1,539,123","-2,025,000","5,498,344",35.25
43,-0.004,65.0,4.857142857142857,11.142857142857142,11.142857142857142,16739928,11558,1448.3412355078733,17421.48046875,3929200,14185.490234375,6270020000.0,36204.44140625,329450000.0,4569.77978515625,4369910000.0,"1,943,205","-2,027,000","1,992,046",35.31
44,0.0074,66.0,4.714285714285714,11.285714285714286,11.285714285714286,19733232,17611,1120.5060473567657,17328.009765625,3623500,14229.91015625,6179120000.0,36124.55859375,309250000.0,4567.18017578125,3909950000.0,"-3,269,018","-1,950,000","-3,546,082",35.13
45,-0.0017000000000000001,67.0,4.571428571428571,11.428571428571429,11.428571428571429,29001618,14226,2038.634753268663,17360.720703125,3307100,14146.7099609375,5167030000.0,36054.4296875,283240000.0,4549.33984375,4245680000.0,"8,557,806","-1,950,000","9,020,138",35.43
46,0.0048,68.0,4.428571428571429,11.571428571428571,11.571428571428571,16096014,10582,1521.0748440748441,17278.740234375,3368200,14339.990234375,5694310000.0,36117.37890625,287280000.0,4585.58984375,3818880000.0,"1,367,686","-2,040,000","3,935,505",35.36
47,0.0014000000000000002,69.0,4.285714285714286,11.714285714285714,11.714285714285714,19560828,9964,1963.150140505821,17383.990234375,3155300,14403.9697265625,5430840000.0,36247.87109375,295180000.0,4604.3701171875,3707010000.0,"4,023,468","-2,020,000","6,908,355",35.58
48,0.0031,69.28571428571429,4.0,12.142857142857142,11.857142857142858,14783388,12048,1227.0408366533864,17418.33984375,3003300,14432.490234375,5607820000.0,36404.9296875,342490000.0,4622.43994140625,3823210000.0,"-503,634","-1,790,000","2,748,905",35.62
49,0.013500000000000002,67.57142857142857,4.0,12.285714285714286,11.714285714285714,25498739,12451,2047.9269938157577,17450.630859375,3356500,14533.400390625,4950100000.0,36577.94140625,292770000.0,4643.7001953125,3808380000.0,"1,471,514","-1,850,000","11,884,469",35.72
50,0.013600000000000001,65.85714285714286,4.0,12.428571428571429,11.571428571428571,60814678,23498,2588.0789003319433,17468.9296875,3410000,14733.9599609375,6732040000.0,37090.23828125,354790000.0,4707.08984375,5063650000.0,"9,670,630","-1,800,000","37,498,642",36.19
51,-0.0052,64.14285714285714,4.0,12.571428571428571,11.428571428571429,51642419,23338,2212.803967777873,17653.109375,4072600,14761.5595703125,8033170000.0,37248.3515625,455820000.0,4719.5498046875,6314040000.0,"8,853,388","-1,600,000","27,897,559",36.7
52,0.0006,62.42857142857143,4.0,12.714285714285714,11.285714285714286,29554677,22395,1319.6997990622906,17673.869140625,5019300,14813.919921875,8377630000.0,37305.16015625,788160000.0,4719.18994140625,8218980000.0,"545,875","-1,600,000","4,175,812",36.35
53,-0.0077,58.42857142857143,3.857142857142857,12.857142857142858,11.428571428571429,24003381,16787,1429.879132662179,17652.029296875,3975400,14904.8095703125,5866080000.0,37306.01953125,292120000.0,4740.56005859375,4060340000.0,"-2,406,353","-1,200,000","-1,051,190",36.39
54,0.013000000000000001,57.857142857142854,3.7142857142857144,12.714285714285714,11.857142857142858,29275593,24917,1174.9244692378697,17576.55078125,3914800,15003.2197265625,5757180000.0,37557.921875,272740000.0,4768.3701171875,4026970000.0,"-6,503,642",0,"-2,102,437",36.17
55,-0.0066,57.285714285714285,3.5714285714285716,12.571428571428571,12.285714285714285,31120000,21093,1475.3709761532261,17635.19921875,4182900,14777.9404296875,6294700000.0,37082.0,303450000.0,4698.35009765625,4201320000.0,"7,251,374","-1,391,000","3,886,682",36.56
56,0.0011,56.714285714285715,3.428571428571429,12.428571428571429,12.714285714285714,18007318,13174,1366.8831030818278,17543.740234375,4021800,14963.8701171875,5465640000.0,37404.3515625,253120000.0,4746.75,3431180000.0,"-3,897,696",0,"-3,530,447",36.42
57,0.0077,56.142857142857146,3.2857142857142856,12.285714285714286,13.142857142857142,21236072,10501,2022.2904485287115,17596.630859375,3700300,14992.9697265625,4796600000.0,37385.96875,252970000.0,4754.6298828125,3046770000.0,"2,123,345",0,"4,439,442",36.5
58,0.0095,54.857142857142854,3.142857142857143,11.714285714285714,13.714285714285714,29209177,16975,1720.7173490427099,17604.83984375,3027400,15074.5703125,6120600000.0,37545.328125,212420000.0,4774.75,2513910000.0,"9,278,041",0,"5,664,384",36.78
59,0.011399999999999999,54.714285714285715,3.2857142857142856,11.428571428571429,13.428571428571429,40735026,21626,1883.6135207620457,17751.73046875,2900000,15074.5703125,6120600000.0,37545.328125,212420000.0,4774.75,2513910000.0,"4,755,759",0,"17,452,775",37.18
60,-0.0024,54.57142857142857,3.4285714285714284,11.142857142857142,13.142857142857142,53652287,25478,2105.828047727451,17891.5,3378000,15099.1796875,7480170000.0,37656.51953125,245530000.0,4781.580078125,2748450000.0,"4,482,043",0,"24,911,268",37.52
61,0.0019,54.42857142857143,3.571428571428571,10.857142857142858,12.857142857142858,30018610,19276,1557.30493878398,17910.369140625,3289700,15095.1396484375,5090570000.0,37710.1015625,199550000.0,4783.35009765625,2698860000.0,"2,367,802","-73,000","653,279",37.43
